
regions,2022
Karakalpakstan,11.7
Andijan,756.2
Bukhara,49.2
Jizzakh,68.1
Kashkadarya,119.3
Navoi,9.3
Namangan,394
Samarkand,240.3
Surkhandarya,136.5
Syrdarya,205.5
Fergana,576.5
Khorezm,317.9
Tashkent,6379.1
